date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2024-11-04,600519,1493.45,1496.72,1498.52,1476.58,29093,4481761764.0,1.48,0.97,14.45,0.23,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2024-11-05,600519,1488.52,1525.51,1526.22,1484.53,45640,7134443464.0,2.79,1.92,28.79,0.36,,,,,,,0.0,,,,,,,,,,,2.2966381766382256,0.45932763532764515,1.8373105413105804,,,,,,,,,0.019235394729809174,,
2024-11-06,600519,1523.52,1519.52,1537.51,1509.74,37631,5916917616.0,1.82,-0.39,-5.99,0.3,,,,,,,0.0,,,,,,,,,,,3.5919912987719727,1.0858603680165106,2.506130930755462,,,,,,,,,-0.0039265557092382775,,
2024-11-07,600519,1510.98,1597.66,1602.02,1510.82,74739,12074951757.0,6.0,5.14,78.14,0.59,,,,,,,0.0,,,,,,,,,,,10.799325040628673,3.0285533025389433,7.77077173808973,,,,,,,,,0.05142413393703271,,
2024-11-08,600519,1609.41,1558.49,1615.63,1549.53,60771,9885645907.0,4.14,-2.45,-39.17,0.48,,,,,,,0.0,,,,,,,1539.58,,,,13.198354894896738,5.062513621010503,8.135841273886236,,,,,49574.8,1.2258445823281183,,,-0.02451710626791692,,
2024-11-11,600519,1538.52,1546.53,1558.47,1515.71,43854,6957095385.0,2.74,-0.77,-11.96,0.35,,,,,,,0.0,,,,,,,1549.542,,,,13.973454012686261,6.844701699345655,7.128752313340606,,,,,52527.0,0.8348849163287452,0.033279437703778836,,-0.0076740947968867435,0.46629007446918963,
2024-11-12,600519,1537.52,1525.72,1571.52,1522.47,49223,7844798676.0,3.17,-1.35,-20.81,0.39,,,,,,,0.0,,,,,,,1549.584,,,,12.761426780040665,8.028046715484658,4.733380064556007,,,,,53243.6,0.9244866988708502,0.00013765888129224635,-0.03314177882248659,-0.013455930373157954,0.46958882200173996,
2024-11-13,600519,1516.52,1527.02,1535.18,1509.8,29125,4594445032.0,1.66,0.09,1.3,0.23,,,,,,,0.0,,,,,,,1551.084,,,,11.770107133038664,8.77645879899546,2.993648334043204,,,,,51542.4,0.5650687589246911,0.004935769190270722,0.004798110308978476,0.0008520567338698992,0.4680571764736691,
2024-11-14,600519,1518.52,1522.32,1542.97,1514.17,29248,4617144097.0,1.89,-0.31,-4.7,0.23,,,,,,,0.0,,,,,,,1536.016,,,,10.484371145979594,9.118041268392288,1.3663298775873063,,,,,42444.2,0.6890929738338808,-0.04715646633201065,-0.05209223552228137,-0.0030778902699375443,0.1573254126400848,
2024-11-15,600519,1517.52,1507.52,1532.32,1501.52,33761,5295326892.0,2.02,-0.97,-14.8,0.27,,,,,,,0.0,,,,,,,1525.8220000000001,1532.701,,,8.176921342489322,8.929817283211696,-0.7528959407223734,,,,,37042.2,0.9114199480592406,-0.03270473342786928,0.014451732904141368,-0.009722003258184841,0.08903941955355328,
2024-11-18,600519,1510.52,1507.52,1524.51,1503.52,27092,4237197499.0,1.39,0.0,0.0,0.22,,,,,,,0.0,,,,,,,1518.02,1533.7810000000002,,,6.275906011065217,8.3990350287824,-2.123129017717183,,,,,33689.8,0.8041603096486176,-0.025224211622147608,0.007480521805721674,0.0,0.09936114992279253,
2024-11-19,600519,1513.52,1490.44,1517.89,1473.52,33266,5138831155.0,2.94,-1.13,-17.08,0.26,,,,,,,0.0,,,,,,,1510.964,1530.274,,,3.352479115948654,7.389723846215651,-4.037244730266997,,,,,30498.4,1.0907457440390316,-0.023123508900715684,0.002100702721431924,-0.011329866270430866,0.08863902672146141,
2024-11-20,600519,1491.52,1493.33,1502.49,1479.82,21345,3292675257.0,1.52,0.19,2.89,0.17,,,,,,,0.0,,,,,,,1504.226,1527.655,,,1.2543813591942126,6.162655348811364,-4.908273989617151,,,,,28942.4,0.7374993089723035,-0.022062579403020255,0.0010609294976954287,0.0019390247175330444,0.09311677591930538,
2024-11-21,600519,1492.39,1493.65,1497.51,1480.52,18262,2810933515.0,1.14,0.02,0.32,0.15,,,,,,,0.0,,37.89500000000003,0.025370736116225374,,,,1498.492,1517.2540000000001,,,-0.3781953033251284,4.854485218384066,-5.232680521709194,,,,,26745.2,0.6828141124388675,-0.018833096852172937,0.003229482550847318,0.0002142861926031081,0.09890017432544077,
